Losses:
Train loss batch: 54.202, Val. loss batch: 437.721
Train loss batch: 20.970, Val. loss batch: 19.378
Train loss epoch: 22.083, Val. loss epoch: 19.440
Train loss batch: 21.069, Val. loss batch: 20.194
Train loss batch: 23.319, Val. loss batch: 19.923
Train loss batch: 21.149, Val. loss batch: 126.884
Train loss batch: 21.808, Val. loss batch: 32.592
Train loss batch: 19.565, Val. loss batch: 20.423
Train loss epoch: 21.382, Val. loss epoch: 20.396
Train loss batch: 19.884, Val. loss batch: 19.487
Train loss batch: 21.797, Val. loss batch: 25.644
Train loss batch: 20.552, Val. loss batch: 37.615
Train loss batch: 20.069, Val. loss batch: 21.802
Train loss batch: 20.219, Val. loss batch: 206.622
Train loss epoch: 20.504, Val. loss epoch: 206.450
Train loss batch: 20.425, Val. loss batch: 27.774
Train loss batch: 20.354, Val. loss batch: 18.259
Train loss batch: 19.317, Val. loss batch: 22.830
Train loss batch: 20.357, Val. loss batch: 22.803
Train loss batch: 20.482, Val. loss batch: 27.994
Train loss epoch: 20.187, Val. loss epoch: 27.865
Train loss batch: 20.615, Val. loss batch: 22.167
Train loss batch: 18.864, Val. loss batch: 23.515
Train loss batch: 20.518, Val. loss batch: 44.547
Train loss batch: 19.237, Val. loss batch: 22.077
Train loss batch: 19.612, Val. loss batch: 19.966
Train loss epoch: 19.769, Val. loss epoch: 19.831
