Losses:Train loss batch: 44.443, Val. loss batch: 27.486
Train loss batch: 22.934, Val. loss batch: 48.265
Train loss batch: 24.090, Val. loss batch: 22.635
Train loss epoch: 21.887, Val. loss epoch: 22.472
Train loss batch: 24.110, Val. loss batch: 22.428
Train loss batch: 21.068, Val. loss batch: 29.602
Train loss batch: 19.809, Val. loss batch: 20.024
Train loss batch: 22.286, Val. loss batch: 22.130
Train loss batch: 20.250, Val. loss batch: 20.028
Train loss epoch: 21.504, Val. loss epoch: 19.860
Train loss batch: 20.025, Val. loss batch: 25.365
Train loss batch: 20.034, Val. loss batch: 28.393
Train loss batch: 20.371, Val. loss batch: 20.731
Train loss batch: 20.357, Val. loss batch: 21.418
Train loss batch: 20.102, Val. loss batch: 31.866
Train loss epoch: 20.178, Val. loss epoch: 31.485
