Losses:
Train loss batch: 49.222, Val. loss batch: 537.958
Train loss batch: 28.521, Val. loss batch: 21.285
Train loss epoch: 26.721, Val. loss epoch: 21.533
Train loss batch: 27.134, Val. loss batch: 22.204
Train loss batch: 27.008, Val. loss batch: 20.042
Train loss batch: 26.218, Val. loss batch: 26.132
Train loss batch: 23.452, Val. loss batch: 20.391
Train loss batch: 24.107, Val. loss batch: 28.428
Train loss epoch: 25.584, Val. loss epoch: 28.437
Continue:
Train loss batch: 25.689, Val. loss batch: 24.487
Train loss batch: 24.831, Val. loss batch: 20.716
Train loss batch: 25.357, Val. loss batch: 20.074
Train loss batch: 24.604, Val. loss batch: 27.455
Train loss batch: 24.151, Val. loss batch: 20.709
Train loss epoch: 24.926, Val. loss epoch: 20.634
Train loss batch: 25.447, Val. loss batch: 27.463
Train loss batch: 23.938, Val. loss batch: 20.141
Train loss batch: 24.688, Val. loss batch: 21.279
Train loss batch: 24.185, Val. loss batch: 53.600
Train loss batch: 25.328, Val. loss batch: 28.485
Train loss epoch: 24.717, Val. loss epoch: 28.495
Train loss batch: 26.535, Val. loss batch: 22.620
Train loss batch: 23.233, Val. loss batch: 19.488
Train loss batch: 23.469, Val. loss batch: 50.440
Train loss batch: 23.143, Val. loss batch: 22.646
Train loss batch: 22.976, Val. loss batch: 19.691
Train loss epoch: 23.871, Val. loss epoch: 19.686
Train loss batch: 23.169, Val. loss batch: 88.799
Train loss batch: 26.634, Val. loss batch: 27.011
Train loss batch: 25.120, Val. loss batch: 21.842
Train loss batch: 23.843, Val. loss batch: 23.371
Train loss batch: 23.783, Val. loss batch: 24.832
Train loss epoch: 24.510, Val. loss epoch: 24.967
Train loss batch: 23.927, Val. loss batch: 22.394
Train loss batch: 22.827, Val. loss batch: 20.147
Train loss batch: 21.934, Val. loss batch: 20.227
Train loss batch: 23.169, Val. loss batch: 23.621
Train loss batch: 22.180, Val. loss batch: 26.237
Train loss epoch: 22.808, Val. loss epoch: 26.250
Train loss batch: 23.426, Val. loss batch: 28.375
Train loss batch: 22.899, Val. loss batch: 19.803
Train loss batch: 21.817, Val. loss batch: 31.885
Train loss batch: 21.746, Val. loss batch: 30.046
Train loss batch: 21.622, Val. loss batch: 24.425
Train loss epoch: 22.302, Val. loss epoch: 24.003
Train loss batch: 21.266, Val. loss batch: 23.444
Train loss batch: 22.203, Val. loss batch: 20.303
Train loss batch: 22.907, Val. loss batch: 22.695
Train loss batch: 21.539, Val. loss batch: 19.474
Train loss batch: 21.710, Val. loss batch: 19.600
Train loss epoch: 21.925, Val. loss epoch: 19.614
Train loss batch: 21.582, Val. loss batch: 23.660
Train loss batch: 21.587, Val. loss batch: 20.327
Train loss batch: 20.896, Val. loss batch: 21.166
Train loss batch: 22.200, Val. loss batch: 22.798
Train loss batch: 21.497, Val. loss batch: 29.930
Train loss epoch: 21.552, Val. loss epoch: 29.826
Train loss batch: 21.258, Val. loss batch: 20.753
Train loss batch: 22.228, Val. loss batch: 29.014
Train loss batch: 20.672, Val. loss batch: 23.654
Train loss batch: 20.175, Val. loss batch: 25.324
Train loss batch: 21.312, Val. loss batch: 29.312
Train loss epoch: 21.129, Val. loss epoch: 29.122
Train loss batch: 21.384, Val. loss batch: 18.902
Train loss batch: 19.163, Val. loss batch: 19.849
Train loss batch: 21.286, Val. loss batch: 24.462
Train loss batch: 20.012, Val. loss batch: 22.837
Train loss batch: 20.915, Val. loss batch: 28.558
Train loss epoch: 20.552, Val. loss epoch: 28.448
Train loss batch: 19.689, Val. loss batch: 19.714
Train loss batch: 21.163, Val. loss batch: 20.633
Train loss batch: 20.134, Val. loss batch: 22.557
Train loss batch: 20.054, Val. loss batch: 22.109
Train loss batch: 19.997, Val. loss batch: 20.366
Train loss epoch: 20.207, Val. loss epoch: 20.413
Train loss batch: 20.322, Val. loss batch: 24.802
Train loss batch: 19.108, Val. loss batch: 20.040
Train loss batch: 18.936, Val. loss batch: 18.038
Train loss batch: 20.002, Val. loss batch: 31.148
Train loss batch: 20.184, Val. loss batch: 21.497
Train loss epoch: 19.710, Val. loss epoch: 21.839
